SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
BN36,BN,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,,,,,,6.7 lbs,,
BN42,BN,RACK-SPI,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,,,,8.0 lbs,,
BN48,BN,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is made to last through extended periods of intense industrial usage.",55,,,,,,,,9.2 lbs,,
BT28,BT,RACK-SPI,"This product is built for demanding environments, featuring standard width, 28"" depth, and a sturdy standard gauge construction. It is offering exceptional durability in rigorous industrial applications.",55,,,"28""",,,,,6.5 lbs,,
UP12,UP,RACK-SPI,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering exceptional durability in rigorous industrial applications.",55,,,,,"12""",,,5.5 lbs,,
UP18,UP,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is crafted for durability and strength in a variety of demanding settings.",55,,,,,"18""",,,7.8 lbs,,
UP24,UP,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,,,"24""",,,10.1 lbs,,
UP30,UP,RACK-SPI,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,"30""",,,12.5 lbs,,
UP36,UP,RACK-SPI,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,,,"36""",,,14.7 lbs,,
UR12,UR,RACK-SPI,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. Additionally, it spans 12"" in length, offering enhanced durability and stability. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,,,,"12""",,0.9 lbs,,
UR24,UR,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 24"" in length, offering enhanced durability and stability. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,"24""",,1.9 lbs,,
UR36,UR,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 36"" in length, offering enhanced durability and stability. It is crafted for durability and strength in a variety of demanding settings.",55,,,,,,"36""",,2.8 lbs,,
UR48,UR,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. Additionally, it spans 48"" in length, offering enhanced durability and stability. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,,"48""",,7.6 lbs,,
UW12,UW,RACK-SPI,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. Additionally, it spans 12"" in length, offering enhanced durability and stability. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,,,,"12""",,2.1 lbs,,
UW24,UW,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 24"" in length, offering enhanced durability and stability. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,,,,"24""",,3.9 lbs,,
UW36,UW,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 36"" in length, offering enhanced durability and stability. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,,,,"36""",,5.8 lbs,,
UW48,UW,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. Additionally, it spans 48"" in length, offering enhanced durability and stability. It is ideal for supporting industrial processes that require robust materials.",55,,,,,,"48""",,7.6 lbs,,
SA10,SA,SANGLE,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,,,,,,62.0 lbs,,
SA12,SA,SANGLE,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,,,,,,74.4 lbs,,
SB10,SB,SANGLE,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,,,,83.0 lbs,,
SB12,SB,SANGLE,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is built to handle tough conditions and provide superior performance over time.",55,,,,,,,,99.6 lbs,,
SC10,SC,SANGLE,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,,,,,,137.0 lbs,,
SC12,SC,SANGLE,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,,,,,,164.4 lbs,,
SO1024,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,300.0 lbs,,
SO1030,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,300.0 lbs,,
SO1036,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,300.0 lbs,,
SO1040,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,300.0 lbs,,
SO1048,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,300.0 lbs,,
SO1124,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,330.0 lbs,,
SO1130,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,330.0 lbs,,
SO1136,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,330.0 lbs,,
SO1140,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,330.0 lbs,,
SO1148,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is crafted for durability and strength in a variety of demanding settings.",65,,,,,,,,330.0 lbs,,
SO1224,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is crafted for durability and strength in a variety of demanding settings.",65,,,,,,,,360.0 lbs,,
SO1230,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,360.0 lbs,,
SO1236,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,360.0 lbs,,
SO1240,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,360.0 lbs,,
SO1248,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,372.0 lbs,,
SO1324,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,390.0 lbs,,
SO1330,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is built to handle tough conditions and provide superior performance over time.",65,,,,,,,,390.0 lbs,,
SO1336,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,390.0 lbs,,
SO1340,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,390.0 lbs,,
SO1348,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,390.0 lbs,,
SO1424,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is made to last through extended periods of intense industrial usage.",65,,,,,,,,420.0 lbs,,
SO1430,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,420.0 lbs,,
SO1436,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,420.0 lbs,,
SO1440,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,420.0 lbs,,
SO1448,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,420.0 lbs,,
SO1524,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,450.0 lbs,,
SO1530,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,450.0 lbs,,
SO1536,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,450.0 lbs,,
SO1540,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,450.0 lbs,,
SO1548,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,450.0 lbs,,
SO1624,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,480.0 lbs,,
SO1630,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,480.0 lbs,,
SO1636,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,480.0 lbs,,
SO1640,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,480.0 lbs,,
SO1648,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,480.0 lbs,,
SO1724,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is made to last through extended periods of intense industrial usage.",65,,,,,,,,510.0 lbs,,
SO1730,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is crafted for durability and strength in a variety of demanding settings.",65,,,,,,,,510.0 lbs,,
SO1736,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,510.0 lbs,,
SO1740,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,510.0 lbs,,
SO1748,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,510.0 lbs,,
SO1824,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,540.0 lbs,,
SO1830,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,540.0 lbs,,
SO1836,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,540.0 lbs,,
SO1840,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is made to last through extended periods of intense industrial usage.",65,,,,,,,,540.0 lbs,,
SO1848,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,540.0 lbs,,
SO224,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is crafted for durability and strength in a variety of demanding settings.",65,,,,,,,,60.0 lbs,,
SO230,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,60.0 lbs,,
SO236,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering superior resistance to wear and tear in heavy-use scenarios.",65,,,,,,,,60.0 lbs,,
SO240,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,60.0 lbs,,
SO248,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is built to handle tough conditions and provide superior performance over time.",65,,,,,,,,60.0 lbs,,
SO324,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,90.0 lbs,,
SO330,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is built to handle tough conditions and provide superior performance over time.",65,,,,,,,,90.0 lbs,,
SO336,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,90.0 lbs,,
SO340,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,90.0 lbs,,
SO348,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,90.0 lbs,,
SO424,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is made to last through extended periods of intense industrial usage.",65,,,,,,,,120.0 lbs,,
SO430,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is made to last through extended periods of intense industrial usage.",65,,,,,,,,120.0 lbs,,
SO436,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,120.0 lbs,,
SO440,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,120.0 lbs,,
SO448,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,120.0 lbs,,
SO524,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,150.0 lbs,,
SO530,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,150.0 lbs,,
SO536,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is offering exceptional durability in rigorous industrial applications.",65,,,,,,,,150.0 lbs,,
SO540,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,150.0 lbs,,
SO548,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,150.0 lbs,,
SO624,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is built to handle tough conditions and provide superior performance over time.",65,,,,,,,,180.0 lbs,,
SO630,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",65,,,,,,,,180.0 lbs,,
SO636,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,180.0 lbs,,
SO640,SO,STAIRS,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,40.0 lbs,,
SO648,SO,STAIRS,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is ideal for supporting industrial processes that require robust materials.",65,,,,,,,,180.0 lbs,,
SO724,SO,STAIRS,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,210.0 lbs,,
SO730,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",65,,,,,,,,210.0 lbs,,
SO736,SO,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,,,,210.0 lbs,,
SO740,SO,STAIRS,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is providing a solid and reliable solution for high-traffic areas.",65,,,,,,,,210.0 lbs,,
